192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/Default.aspx<-->HTTP/1.1<-->404<-->536<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:15:00:10<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/altercast/AlterCast?op=%3cscript%3ealert(%22adobe_document_server_61.nasl%22)%3c%2fscript%3e<-->HTTP/1.1<-->404<-->544<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:15:00:10<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:15:00:10<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/*%3Capache_mod_proxy_ftp_glob_xss.nasl%3E<-->HTTP/1.1<-->404<-->568<-->-<-->-
192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/admin/statistics/ConfigureStatistics<-->HTTP/1.1<-->404<-->560<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/*%3Capache_mod_proxy_ftp_glob_xss.nasl%3E<-->HTTP/1.1<-->404<-->567<-->-<-->-
192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/*%3Capache_mod_proxy_ftp_glob_xss.nasl%3E<-->HTTP/1.1<-->404<-->568<-->-<-->-
192.168.35.129<-->19/Oct/2016:15:00:11<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
